Zyrian,Permyak,feature,category,comment
mɨsk-,mɨs-,paragogic k in word 'lower back',lexical,
ɕinm-,ɕin-,paragogic m in word 'eye',lexical,
kost-,kos-,paragogic t in word 'middle',lexical,
kor,kər,vowel correspondence in word 'when',lexical,
ʃom,ʃəm,vowel correspondence in word 'sour',lexical,
d#,t#,voicing correspondence t-d in word end,phonological,
ɘj#,ə#,morpheme shape,phonological,
iɡ,ik,consonant voicing in gerund -iK,morphological,
jas,C#Cez,plural formation,morphological,
prl + tra,prl,transitive case in nominal paradigm,morphological,
_,-vi,second terminative,morphological,
lɨ,lə,dative morpheme shape,morphological,
lɨɕ,liɕ,ablative morpheme shape,morphological,
ɨɕ,iɕ,elative morpheme shape,morphological,
sə,ə,adjective accusative form,morphological,
munannɨd,munatə,2pl.pres,morphological,
munənɨ,munən,3pl.pres,morphological,
munasnɨ,munasə,3pl.fut,morphological,
munisnɨ,munisə,3pl.pst,morphological,
munəmaəɕ,munəmaɕ,pl.pst,morphological,
oz munnɨ,ozə munə,negation forms,syntactic,
oz,od,neg.2pl.pres,morphological,
-əj,-ce,2pl imperative forms,morphological,
_,-ko,diminutive -ко,morphological,
med,aɕ,optative particle,morphological,
_,tən,gerund -тӧн,morphological,
_,-ʒuɡ,pejorative -жуг,derivational,
-tor,_,diminutive -тор,derivational,
_,-iɲəj,diminutive -иньӧй,derivational,
-tə,_,discourse marker -тӧ,morphological,
-sə,_,discourse marker -сӧ,morphological,
_,-tu,discourse marker -ту,morphological,
_,-to,discourse marker -то,morphological,
-ə,ja,question particle / word,lexical,